x y z attention
0.329065 0.180267 0.035209 0.768914
-0.395923 -0.460415 0.205092 0.044575
-0.340154 -0.353797 0.260179 0.000000
0.384836 0.818321 -0.180690 0.457172
-0.395923 -0.489733 0.035766 0.396612
0.019087 -0.856478 0.238009 0.629884
0.044103 -0.348234 -0.206229 0.806468
-0.340154 0.260743 -0.090211 0.091946
0.384836 -0.066447 0.146803 0.543113
0.329065 0.677339 0.044502 0.699612
0.089581 0.816574 -0.068651 0.444202
-0.395923 0.726967 0.203752 0.170986
0.329065 0.577927 0.098544 0.747368
0.384836 0.572433 0.044216 0.788705
0.329065 0.362791 0.041201 0.817449
-0.395923 0.252697 0.130219 0.225910
0.296855 0.141842 -0.206229 0.262425
0.329065 -0.355896 -0.072075 0.711895
-0.395923 -0.023380 -0.060286 0.371076
-0.395923 0.326601 0.100213 0.175485
-0.395923 0.491763 0.074815 0.108011
0.384836 0.648483 -0.197643 0.509398
0.295721 0.811364 -0.093569 0.508340
-0.249581 0.471558 -0.206229 0.002109
0.329065 0.547499 0.071019 0.758742
0.342794 0.060914 0.262225 0.563676
-0.283538 0.816574 -0.024382 0.205977
-0.335227 -0.822453 0.163936 0.423468
-0.069281 0.786912 -0.206229 0.286668
0.284725 -0.912246 -0.053230 0.923744
0.314977 0.416467 -0.206229 0.529844
0.202529 -0.586118 -0.206229 0.839639
0.329065 -0.645052 -0.202821 0.867271
-0.390290 -0.912246 0.072278 0.516197
0.329065 -0.344248 0.224183 0.622030
0.347439 0.256035 0.262225 0.793873
0.384836 0.018967 -0.198784 0.242712
0.384836 0.681996 -0.048597 0.649388
-0.395923 0.653238 -0.176507 0.000000
0.202388 -0.856478 -0.155543 0.887713
0.103337 -0.912246 0.092603 0.801961
0.384836 -0.894436 -0.178621 0.910186
0.248041 0.816574 0.120332 0.607796
0.308042 0.803839 0.001641 0.595149
0.284148 0.815145 -0.013634 0.565871
-0.340154 0.236361 -0.139723 0.069454
0.160911 0.872342 -0.047022 0.470479
0.329065 0.484290 -0.089782 0.648858
-0.340154 0.455351 -0.143339 0.000000
-0.395923 -0.825324 -0.161787 0.714913
0.329065 0.708761 -0.195388 0.463707
-0.135654 0.816574 0.093218 0.326603
0.236892 -0.912246 -0.037340 0.913039
-0.119144 0.872342 -0.138086 0.251789
0.384836 -0.089628 0.093348 0.586111
-0.340154 0.014831 0.116441 0.414189
0.329065 -0.049919 -0.078292 0.279618
0.363409 -0.783160 -0.206229 0.886441
-0.395923 -0.489072 -0.082379 0.532404
-0.088212 -0.856478 0.179221 0.573866
